Mode;Size;Selection Sort
From 1 to 4100;60;6
From 1 to 4100;70;7
From 1 to 4100;80;9
From 1 to 4100;90;11
From 1 to 4100;100;12
From 1 to 4100;110;14
From 1 to 4100;120;15
From 1 to 4100;130;16
From 1 to 4100;140;17
From 1 to 4100;150;19
From 1 to 4100;160;20
From 1 to 4100;170;22
From 1 to 4100;180;24
From 1 to 4100;190;25
From 1 to 4100;200;27
From 1 to 4100;210;28
From 1 to 4100;220;34
From 1 to 4100;230;33
From 1 to 4100;240;34
From 1 to 4100;250;35
From 1 to 4100;260;37
From 1 to 4100;270;38
From 1 to 4100;280;42
From 1 to 4100;290;42
Almost Sorted;50;7
Almost Sorted;60;8
Almost Sorted;70;10
Almost Sorted;80;11
Almost Sorted;90;13
Almost Sorted;100;14
Almost Sorted;110;15
Almost Sorted;120;17
Almost Sorted;130;19
Almost Sorted;140;21
Almost Sorted;150;23
Almost Sorted;160;24
Almost Sorted;170;26
Almost Sorted;180;28
Almost Sorted;190;30
Almost Sorted;200;32
Almost Sorted;210;33
Almost Sorted;220;35
Almost Sorted;230;37
Almost Sorted;240;39
Almost Sorted;250;41
Almost Sorted;260;43
Almost Sorted;270;45
Almost Sorted;280;46
Almost Sorted;290;48
Reversed sorted;50;6
Reversed sorted;60;6
Reversed sorted;70;8
Reversed sorted;80;9
Reversed sorted;90;11
Reversed sorted;100;12
Reversed sorted;110;13
Reversed sorted;120;15
Reversed sorted;130;16
Reversed sorted;140;17
Reversed sorted;150;20
Reversed sorted;160;20
Reversed sorted;170;22
Reversed sorted;180;27
Reversed sorted;190;27
Reversed sorted;200;54
Reversed sorted;210;34
Reversed sorted;220;35
Reversed sorted;230;38
Reversed sorted;240;41
Reversed sorted;250;44
Reversed sorted;260;45
Reversed sorted;270;47
Reversed sorted;280;49
Reversed sorted;290;51
