Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;100;15;34;33;40;27;14;29;13;25;9;10;14;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;200;55;154;117;121;78;36;31;14;45;18;17;33;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;300;136;273;275;364;803;55;33;19;100;29;33;50;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;400;204;8519;834;478;423;198;37;43;141;45;40;66;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;500;278;1098;957;861;950;170;33;45;116;51;71;82;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;600;412;1425;1376;1550;1146;253;39;43;198;108;84;94;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;700;502;1518;1894;1393;1114;290;44;37;250;82;84;109;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;800;648;2237;1905;1841;1665;301;39;40;179;82;93;143;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;900;866;3212;2887;2874;2044;422;58;47;299;127;102;174;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1000;1114;3842;3585;4499;2158;470;42;60;338;122;147;199;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1100;1251;4697;4282;4960;3229;652;50;104;420;132;119;313;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1200;2078;5289;5633;5006;3374;906;39;67;327;130;129;204;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1300;1880;6454;6649;8000;7031;913;42;82;360;162;172;298;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1400;2827;6703;6989;7120;5270;925;36;73;357;147;179;252;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1500;2344;7992;7889;8232;5179;1115;41;86;386;163;205;275;;;;;;;;;;;;;;;;;;;;;;;;;;
